model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
svm_rbf,0.8588709677419355,0.7609108276880492,0.8543900301484126,0.8316666666666667,0.7149468599033816
random_forest,0.8225806451612904,0.7059408111070515,0.8165126639716194,0.7815336648512117,0.6634685990338165
knn,0.782258064516129,0.6006771740852209,0.7627529821975136,0.778178918370306,0.559256038647343
gradient_boosting,0.7620967741935484,0.5230594776054456,0.7522002193404357,0.5795522679086667,0.4937391304347827
mlp,0.7459677419354839,0.34526862026862026,0.7012664195123872,0.5015409570154096,0.3552463768115942
